Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27,0.360000,0.370000,0.350000,0.350000,0.350000,259900
2022-05-31,0.340000,0.380000,0.340000,0.360000,0.360000,109000
2022-06-01,0.370000,0.390000,0.350000,0.360000,0.360000,223800
2022-06-02,0.390000,0.390000,0.350000,0.380000,0.380000,290600
2022-06-03,0.380000,0.380000,0.360000,0.370000,0.370000,50200
2022-06-06,0.380000,0.380000,0.360000,0.370000,0.370000,82200
2022-06-07,0.360000,0.380000,0.360000,0.380000,0.380000,16800
2022-06-08,0.380000,0.390000,0.370000,0.380000,0.380000,61100
2022-06-09,0.380000,0.380000,0.360000,0.360000,0.360000,101100
2022-06-10,0.350000,0.390000,0.350000,0.380000,0.380000,69300
2022-06-13,0.350000,0.480000,0.350000,0.420000,0.420000,1180600
2022-06-14,0.380000,0.440000,0.360000,0.420000,0.420000,54700
2022-06-15,0.420000,0.430000,0.380000,0.410000,0.410000,201900
2022-06-16,0.390000,0.400000,0.370000,0.400000,0.400000,144300
2022-06-17,0.370000,0.400000,0.350000,0.360000,0.360000,625700
2022-06-21,0.410000,0.410000,0.370000,0.370000,0.370000,447600
2022-06-22,0.370000,0.380000,0.340000,0.370000,0.370000,786200
2022-06-23,0.340000,0.350000,0.270000,0.330000,0.330000,834700
2022-06-24,0.330000,0.350000,0.290000,0.300000,0.300000,555500
2022-06-27,0.300000,0.320000,0.290000,0.290000,0.290000,317100
2022-06-28,0.290000,0.310000,0.250000,0.290000,0.290000,1359100
2022-06-29,0.320000,0.320000,0.280000,0.310000,0.310000,286300
2022-06-30,0.310000,0.310000,0.280000,0.310000,0.310000,267800
2022-07-01,0.310000,0.310000,0.290000,0.310000,0.310000,64900
2022-07-05,0.290000,0.310000,0.280000,0.290000,0.290000,102200
2022-07-06,0.290000,0.320000,0.280000,0.310000,0.310000,181800
2022-07-07,0.320000,0.320000,0.290000,0.300000,0.300000,243300
2022-07-08,0.310000,0.320000,0.270000,0.300000,0.300000,493400
2022-07-11,0.300000,0.300000,0.270000,0.280000,0.280000,203300
2022-07-12,0.290000,0.290000,0.270000,0.280000,0.280000,37500
2022-07-13,0.270000,0.300000,0.270000,0.280000,0.280000,72400
2022-07-14,0.280000,0.290000,0.260000,0.280000,0.280000,292200
2022-07-15,0.270000,0.280000,0.260000,0.260000,0.260000,226300
2022-07-18,0.270000,0.300000,0.260000,0.280000,0.280000,247100
2022-07-19,0.270000,0.290000,0.270000,0.290000,0.290000,126000
2022-07-20,0.270000,0.290000,0.270000,0.280000,0.280000,80500
2022-07-21,0.300000,0.300000,0.270000,0.280000,0.280000,122500
2022-07-22,0.280000,0.280000,0.280000,0.280000,0.280000,64900
2022-07-25,0.280000,0.280000,0.280000,0.280000,0.280000,28000
2022-07-26,0.280000,0.280000,0.270000,0.270000,0.270000,201400
2022-07-27,0.280000,0.280000,0.260000,0.270000,0.270000,33700
2022-07-28,0.270000,0.290000,0.260000,0.280000,0.280000,328300
2022-07-29,0.280000,0.280000,0.260000,0.270000,0.270000,151500
2022-08-01,0.280000,0.280000,0.270000,0.280000,0.280000,145500
2022-08-02,0.310000,0.320000,0.270000,0.270000,0.270000,217700
2022-08-03,0.270000,0.280000,0.270000,0.280000,0.280000,261900
2022-08-04,0.280000,0.280000,0.270000,0.270000,0.270000,92200
2022-08-05,0.270000,0.280000,0.270000,0.270000,0.270000,164600
2022-08-08,0.320000,0.320000,0.260000,0.280000,0.280000,665600
2022-08-09,0.300000,0.300000,0.270000,0.280000,0.280000,279600
2022-08-10,0.280000,0.310000,0.280000,0.280000,0.280000,214400
2022-08-11,0.260000,0.310000,0.260000,0.290000,0.290000,238400
2022-08-12,0.300000,0.310000,0.290000,0.300000,0.300000,129300
